ensembl_gene_id	"Length"	"GC"
"ENSG00000000003"	4530	0.416556291390728
"ENSG00000000005"	1476	0.424119241192412
"ENSG00000000419"	9276	0.395752479517033
"ENSG00000000457"	6883	0.413773064070899
"ENSG00000000460"	5970	0.429815745393635
"ENSG00000000938"	3382	0.570668243642815
"ENSG00000000971"	15284	0.36940591468202
"ENSG00000001036"	2822	0.435861091424522
"ENSG00000001084"	8618	0.444070550011604
"ENSG00000001167"	6209	0.463198582702529
"ENSG00000001460"	8511	0.497121372341675
"ENSG00000001461"	9396	0.469029374201788
"ENSG00000001497"	12555	0.500995619275189
"ENSG00000001561"	4644	0.344315245478036
"ENSG00000001617"	4826	0.628056361375881
"ENSG00000001626"	16821	0.385054396290351
"ENSG00000001629"	7389	0.420625253755583
"ENSG00000001630"	4171	0.409014624790218
"ENSG00000001631"	21110	0.35698720985315
"ENSG00000002016"	4503	0.505440817232956
"ENSG00000002079"	6307	0.535436816235928
"ENSG00000002330"	1708	0.646955503512881
"ENSG00000002549"	3779	0.448531357501985
"ENSG00000002586"	4858	0.499382461918485
"ENSG00000002587"	7435	0.464156018829859
"ENSG00000002726"	3786	0.588483888008452
"ENSG00000002745"	3264	0.418811274509804
"ENSG00000002746"	13935	0.477646214567635
"ENSG00000002822"	6955	0.609633357296909
"ENSG00000002834"	7061	0.573573148279281
"ENSG00000002919"	4133	0.505685942414711
"ENSG00000002933"	3477	0.57578372159908
"ENSG00000003056"	3585	0.452719665271967
"ENSG00000003096"	6928	0.386403002309469
"ENSG00000003137"	4839	0.565819384170283
"ENSG00000003147"	4883	0.466516485766947
"ENSG00000003249"	4462	0.61340206185567
"ENSG00000003393"	33513	0.390594694596127
"ENSG00000003400"	8920	0.451457399103139
"ENSG00000003402"	22478	0.45987187472195
"ENSG00000003436"	11714	0.395253542769336
"ENSG00000003509"	3651	0.422076143522323
"ENSG00000003756"	10357	0.439509510476007
"ENSG00000003987"	6928	0.397950346420323
"ENSG00000003989"	7905	0.416192283364959
"ENSG00000004059"	1825	0.593972602739726
"ENSG00000004139"	11105	0.554975236380009
"ENSG00000004142"	2670	0.535955056179775
"ENSG00000004399"	9557	0.607512817829863
"ENSG00000004455"	17967	0.444147603940558
"ENSG00000004468"	6857	0.425550532302756
"ENSG00000004478"	5163	0.52527600232423
"ENSG00000004487"	18325	0.417953615279673
"ENSG00000004534"	7299	0.469790382244143
"ENSG00000004660"	7433	0.575003363379524
"ENSG00000004700"	3779	0.376554644085737
"ENSG00000004766"	9559	0.356418035359347
"ENSG00000004776"	1724	0.631090487238979
"ENSG00000004777"	5260	0.646768060836502
"ENSG00000004779"	1548	0.472868217054264
"ENSG00000004799"	4544	0.379841549295775
"ENSG00000004809"	3907	0.456104427949834
"ENSG00000004838"	2889	0.598476981654552
"ENSG00000004846"	8796	0.408253751705321
"ENSG00000004848"	3114	0.622992935131663
"ENSG00000004864"	3710	0.440970350404313
"ENSG00000004866"	6526	0.449586270303402
"ENSG00000004897"	6824	0.376025791324736
"ENSG00000004939"	5125	0.56390243902439
"ENSG00000004948"	4222	0.4126006631928
"ENSG00000004961"	2343	0.426376440460948
"ENSG00000004975"	5321	0.587859424920128
"ENSG00000005001"	2384	0.623741610738255
"ENSG00000005007"	8934	0.589993284083277
"ENSG00000005020"	5361	0.393583286700243
"ENSG00000005022"	1555	0.485530546623794
"ENSG00000005059"	3555	0.39746835443038
"ENSG00000005073"	2669	0.537654552266767
"ENSG00000005075"	937	0.554962646744931
"ENSG00000005100"	5789	0.487648989462774
"ENSG00000005102"	2674	0.526178010471204
"ENSG00000005108"	10915	0.425836005497022
"ENSG00000005156"	12901	0.498488489264398
"ENSG00000005175"	5350	0.357196261682243
"ENSG00000005187"	7510	0.420639147802929
"ENSG00000005189"	4111	0.463877402091948
"ENSG00000005194"	3383	0.471179426544487
"ENSG00000005206"	7419	0.63890012131015
"ENSG00000005238"	6375	0.561882352941176
"ENSG00000005243"	1866	0.544480171489818
"ENSG00000005249"	12581	0.384309673316906
"ENSG00000005302"	9780	0.443456032719836
"ENSG00000005339"	15479	0.531881904515796
"ENSG00000005379"	11389	0.606023355869699
"ENSG00000005381"	4427	0.575107296137339
"ENSG00000005421"	2657	0.406097101994731
"ENSG00000005436"	5462	0.373306481142439
"ENSG00000005448"	2852	0.563814866760168
"ENSG00000005469"	4995	0.367367367367367
"ENSG00000005471"	7728	0.429089026915114
"ENSG00000005483"	13704	0.41768826619965
"ENSG00000005486"	2390	0.574058577405858
"ENSG00000005513"	4470	0.651677852348993
"ENSG00000005700"	8719	0.368046794357151
"ENSG00000005801"	11711	0.386730424387328
"ENSG00000005810"	34127	0.393061212529669
"ENSG00000005812"	7076	0.388920293951385
"ENSG00000005844"	9864	0.532339821573398
"ENSG00000005882"	5471	0.581246572838604
"ENSG00000005884"	9802	0.574372577025097
"ENSG00000005889"	9037	0.421268119951311
"ENSG00000005893"	10628	0.359522017312759
"ENSG00000005961"	5695	0.603863037752414
"ENSG00000005981"	4606	0.416630481980026
"ENSG00000006007"	4390	0.450341685649203
"ENSG00000006015"	3371	0.596262236725007
"ENSG00000006016"	2967	0.622177283451298
"ENSG00000006025"	6541	0.597462161748968
"ENSG00000006042"	5187	0.499325236167341
"ENSG00000006047"	4631	0.587562081623839
"ENSG00000006059"	1303	0.604758250191865
"ENSG00000006062"	5668	0.591390261115032
"ENSG00000006071"	27254	0.515740808688633
"ENSG00000006116"	1917	0.52321335419927
"ENSG00000006118"	7274	0.612455320318944
"ENSG00000006125"	7591	0.462257937030694
"ENSG00000006128"	1712	0.460864485981308
"ENSG00000006194"	8450	0.484970414201183
"ENSG00000006210"	5960	0.55738255033557
"ENSG00000006282"	5237	0.614092037426007
"ENSG00000006283"	10062	0.593321407274896
"ENSG00000006327"	1801	0.634647418101055
"ENSG00000006377"	3445	0.543976777939042
"ENSG00000006432"	12386	0.520668496689811
"ENSG00000006451"	3579	0.441184688460464
"ENSG00000006453"	4821	0.517527483924497
"ENSG00000006459"	9378	0.384623587118789
"ENSG00000006468"	9592	0.387823185988324
"ENSG00000006530"	10697	0.403664578853884
"ENSG00000006534"	6622	0.586680761099366
"ENSG00000006555"	6111	0.569464899361807
"ENSG00000006576"	8665	0.356376226197346
"ENSG00000006606"	703	0.520625889046942
"ENSG00000006607"	14371	0.478602741632454
"ENSG00000006611"	4904	0.560154975530179
"ENSG00000006625"	1594	0.415307402760351
"ENSG00000006634"	4595	0.388030467899891
"ENSG00000006638"	2827	0.62610541209763
"ENSG00000006652"	7902	0.403568716780562
"ENSG00000006659"	904	0.476769911504425
"ENSG00000006695"	6756	0.46388395500296
"ENSG00000006704"	6499	0.581627942760425
"ENSG00000006712"	2850	0.553684210526316
"ENSG00000006715"	7752	0.400025799793602
"ENSG00000006740"	9322	0.528856468568977
"ENSG00000006744"	7002	0.536560982576407
"ENSG00000006747"	11626	0.407792878031997
"ENSG00000006756"	7026	0.513236549957302
"ENSG00000006757"	3411	0.423629434183524
"ENSG00000006788"	6120	0.524019607843137
"ENSG00000006831"	5831	0.434402332361516
"ENSG00000006837"	3149	0.390600190536678
"ENSG00000007001"	2957	0.41630030436253
"ENSG00000007038"	1967	0.601931875953228
"ENSG00000007047"	6656	0.576923076923077
"ENSG00000007062"	7457	0.466809708998257
"ENSG00000007080"	1661	0.619506321493076
"ENSG00000007129"	1977	0.558421851289833
"ENSG00000007168"	13771	0.425459298525888
"ENSG00000007171"	6129	0.560939794419971
"ENSG00000007174"	16941	0.51035948291128
"ENSG00000007202"	9232	0.506824090121317
"ENSG00000007216"	3226	0.574085554866708
"ENSG00000007237"	10158	0.524512699350266
"ENSG00000007255"	933	0.646302250803859
"ENSG00000007264"	4138	0.644514258095698
"ENSG00000007306"	2653	0.453071993969092
"ENSG00000007312"	2125	0.612705882352941
"ENSG00000007314"	8243	0.576367827247361
"ENSG00000007341"	8108	0.444869264923532
"ENSG00000007350"	3570	0.496638655462185
"ENSG00000007372"	20639	0.478220844033141
"ENSG00000007376"	2769	0.662332972192127
"ENSG00000007384"	4914	0.617826617826618
"ENSG00000007392"	6176	0.470693005181347
"ENSG00000007402"	6508	0.582974800245851
"ENSG00000007516"	6808	0.654230317273796
"ENSG00000007520"	1210	0.668595041322314
"ENSG00000007541"	7856	0.661532586558045
"ENSG00000007545"	8596	0.579571893904141
"ENSG00000007866"	3049	0.596261069203017
"ENSG00000007908"	4586	0.421936327954645
"ENSG00000007923"	12182	0.511246100804466
"ENSG00000007933"	3439	0.431520790927595
"ENSG00000007944"	3072	0.4677734375
"ENSG00000007952"	2543	0.440031458906803
"ENSG00000007968"	5462	0.564811424386672
"ENSG00000008018"	2219	0.421811626858945
"ENSG00000008056"	3733	0.590409858023038
"ENSG00000008083"	6244	0.506566303651505
"ENSG00000008086"	19056	0.421389588581024
"ENSG00000008118"	3328	0.518028846153846
"ENSG00000008128"	5085	0.562635201573255
"ENSG00000008130"	5570	0.591202872531418
"ENSG00000008196"	6155	0.482696994313566
"ENSG00000008197"	2203	0.464820699046754
"ENSG00000008226"	8338	0.552050851523147
"ENSG00000008256"	5802	0.543433298862461
"ENSG00000008277"	13668	0.393766461808604
"ENSG00000008282"	2909	0.439669989687178
"ENSG00000008283"	5296	0.598564954682779
"ENSG00000008294"	11951	0.414358631076897
"ENSG00000008300"	13850	0.611624548736462
"ENSG00000008311"	10816	0.383043639053254
"ENSG00000008323"	4316	0.610287303058387
"ENSG00000008324"	3118	0.419499679281591
"ENSG00000008382"	2049	0.659346022449976
"ENSG00000008394"	7441	0.386641580432738
"ENSG00000008405"	4782	0.416143872856545
"ENSG00000008438"	708	0.620056497175141
"ENSG00000008441"	6486	0.611470860314524
"ENSG00000008513"	8787	0.523159212472971
"ENSG00000008516"	4745	0.66491043203372
"ENSG00000008517"	3209	0.582736054845746
"ENSG00000008710"	18534	0.657656199417287
"ENSG00000008735"	5793	0.630761263593993
"ENSG00000008838"	6962	0.573685722493536
"ENSG00000008853"	7408	0.586933045356371
"ENSG00000008869"	8238	0.413814032532168
"ENSG00000008952"	7928	0.372098890010091
"ENSG00000008988"	6765	0.417442719881744
"ENSG00000009307"	9830	0.387792472024415
"ENSG00000009335"	9203	0.456155601434315
"ENSG00000009413"	12420	0.391867954911433
"ENSG00000009694"	13547	0.430501217981841
"ENSG00000009709"	6473	0.547350532983161
"ENSG00000009724"	5113	0.523371797379229
"ENSG00000009765"	10362	0.433217525574213
"ENSG00000009780"	4046	0.415472071181414
"ENSG00000009790"	7750	0.448
"ENSG00000009830"	13203	0.511701885935015
"ENSG00000009844"	7258	0.379856709837421
"ENSG00000009950"	4815	0.618899273104881
"ENSG00000009954"	7060	0.477053824362606
"ENSG00000010017"	3618	0.484521835268104
"ENSG00000010030"	2374	0.526116259477675
"ENSG00000010072"	5906	0.422621063325432
"ENSG00000010165"	3831	0.498303315061342
"ENSG00000010219"	7050	0.457446808510638
"ENSG00000010244"	15818	0.366101909217347
"ENSG00000010256"	3204	0.584269662921348
"ENSG00000010270"	4324	0.443802035152636
"ENSG00000010278"	5829	0.513295591010465
"ENSG00000010282"	2888	0.57617728531856
"ENSG00000010292"	6470	0.51854714064915
"ENSG00000010295"	4945	0.589686552072801
"ENSG00000010310"	5069	0.571513118958374
"ENSG00000010318"	3364	0.50089179548157
"ENSG00000010319"	5047	0.585100059441252
"ENSG00000010322"	9062	0.582211432354889
"ENSG00000010327"	10588	0.620891575368341
"ENSG00000010361"	2953	0.57534710463935
"ENSG00000010379"	4243	0.530285175583314
"ENSG00000010404"	9294	0.440176457929847
"ENSG00000010438"	1425	0.550175438596491
"ENSG00000010539"	7498	0.448786343024807
"ENSG00000010610"	4557	0.552775949089313
"ENSG00000010626"	3052	0.545871559633027
"ENSG00000010671"	7817	0.446590763720097
"ENSG00000010704"	5675	0.433303964757709
"ENSG00000010803"	4602	0.522598870056497
"ENSG00000010810"	7411	0.460666576710295
"ENSG00000010818"	11272	0.483942512420156
"ENSG00000010932"	3602	0.424486396446419
"ENSG00000011007"	5348	0.477748691099476
"ENSG00000011009"	2021	0.617516081147947
"ENSG00000011021"	8173	0.529793221583262
"ENSG00000011028"	6591	0.634805037171901
"ENSG00000011052"	1241	0.531829170024174
"ENSG00000011083"	4277	0.602758943184475
"ENSG00000011105"	6905	0.595944967414917
"ENSG00000011114"	11333	0.423453630989147
"ENSG00000011132"	5596	0.607219442458899
"ENSG00000011143"	11285	0.472662826761187
"ENSG00000011198"	7539	0.423928903037538
"ENSG00000011201"	7082	0.404123129059588
"ENSG00000011243"	8576	0.576259328358209
"ENSG00000011258"	7184	0.389198218262806
"ENSG00000011260"	2703	0.428042915279319
"ENSG00000011275"	7576	0.516895459345301
"ENSG00000011295"	6054	0.435744962008589
"ENSG00000011304"	7521	0.600319106501795
"ENSG00000011332"	4800	0.608333333333333
"ENSG00000011347"	7552	0.600900423728814
"ENSG00000011376"	12407	0.483839767872975
"ENSG00000011405"	9207	0.378190507222765
"ENSG00000011422"	4457	0.526587390621494
"ENSG00000011426"	5997	0.40253460063365
"ENSG00000011451"	10037	0.620504134701604
"ENSG00000011454"	7656	0.41235632183908
"ENSG00000011465"	12941	0.366895912216985
"ENSG00000011478"	2825	0.576637168141593
"ENSG00000011485"	7089	0.561292142756383
"ENSG00000011523"	11832	0.469658553076403
"ENSG00000011566"	6056	0.377476882430647
"ENSG00000011590"	2739	0.587440671778021
"ENSG00000011600"	907	0.595369349503859
"ENSG00000011638"	2558	0.500781860828773
"ENSG00000011677"	4150	0.465060240963855
"ENSG00000012048"	14160	0.428107344632768
"ENSG00000012061"	5575	0.559641255605381
"ENSG00000012124"	6165	0.549553933495539
